vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
1,Trailer,623,2021,BST2021D,Silver,2021-11-05,102,2021,11,Nov,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,5,2,4,1
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,2021-12-13,105,2021,12,Dec,Monday,Trailer,Standard,Gisborne,New Zealand,52100.0,6.21,0,Q4,0-5 years,0,0,335.89,1,3,4,1
3,Boat Trailer,623,2021,ASD JETSKI,Silver,2022-02-13,102,2022,2,Feb,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,7,5,1,1
4,Trailer,623,2021,MSC 7X4,Silver,2021-11-13,106,2021,11,Nov,Saturday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,0,Q4,0-5 years,0,0,54.73,6,2,4,1
5,Trailer,623,2018,D-MAX 8X5,Silver,2022-01-10,102,2022,1,Jan,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,1,4,1,1
6,Roadbike,636,2005,YZF-R6T,Black,2021-12-31,102,2021,12,Dec,Friday,Yamaha,Standard,Auckland,New Zealand,1695200.0,343.09,16,Q4,11-20 years,0,1,96.15,5,3,4,3
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,2021-11-12,114,2021,11,Nov,Friday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,0,Q4,0-5 years,0,0,100.76,5,2,4,1
8,Boat Trailer,623,2001,BOAT,Silver,2022-02-22,109,2022,2,Feb,Tuesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,21,Q1,20+ years,0,0,76.72,2,5,1,4
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,2022-02-25,115,2022,2,Feb,Friday,Briford,Standard,Otago,New Zealand,246000.0,7.89,1,Q1,0-5 years,0,0,56.5,5,5,1,1
10,Trailer,514,2020,8X4 TANDEM,Silver,2022-01-03,114,2022,1,Jan,Monday,Briford,Standard,Canterbury,New Zealand,655000.0,14.72,2,Q1,0-5 years,0,0,100.76,1,4,1,1
11,Trailer,623,2018,HOMEBUILT,Silver,2021-10-15,108,2021,10,Oct,Friday,Trailer,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,3,Q4,0-5 years,0,0,53.83,5,1,4,1
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,2022-02-28,102,2022,2,Feb,Monday,Factory Built,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,1,5,1,1
13,Moped,629,2004,ET2,Black,2021-12-19,102,2021,12,Dec,Sunday,Vespa,Standard,Auckland,New Zealand,1695200.0,343.09,17,Q4,11-20 years,0,1,96.15,7,3,4,3
14,Moped,550,2007,TODAY,Blue,2022-01-23,102,2022,1,Jan,Sunday,Honda,Standard,Auckland,New Zealand,1695200.0,343.09,15,Q1,11-20 years,0,1,96.15,7,4,1,3
15,Roadbike,611,2007,DL650,Black,2022-02-28,101,2022,2,Feb,Monday,Suzuki,Standard,Northland,New Zealand,201500.0,16.11,15,Q1,11-20 years,0,1,116.13,1,5,1,3
16,Trailer,623,2021,JOBMATE,Silver,2022-02-08,109,2022,2,Feb,Tuesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,1,Q1,0-5 years,0,0,76.72,2,5,1,1
17,Trailer,623,2021,BSTB85B,Silver,2021-10-10,102,2021,10,Oct,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,7,1,4,1
18,Boat Trailer,623,2004,BOAT,White,2021-10-07,104,2021,10,Oct,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,17,Q4,11-20 years,0,0,127.98,4,1,4,3
19,Trailer,623,2014,DOMESTIC TRAILER,White,2022-02-24,104,2022,2,Feb,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,8,Q1,6-10 years,0,0,127.98,4,5,1,2
20,Boat Trailer,623,2018,APS SEADOO,Silver,2021-11-08,114,2021,11,Nov,Monday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,3,Q4,0-5 years,0,0,100.76,1,2,4,1
21,Roadbike,625,2002,THUNDERBIRD,Silver,2022-02-11,101,2022,2,Feb,Friday,Triumph,Standard,Northland,New Zealand,201500.0,16.11,20,Q1,11-20 years,0,1,116.13,5,5,1,3
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,2021-11-22,104,2021,11,Nov,Monday,Factory Built,Standard,Bay of Plenty,New Zealand,347700.0,28.8,21,Q4,20+ years,0,0,127.98,1,2,4,4
23,Trailer,623,2015,LOCAL,Silver,2022-01-27,114,2022,1,Jan,Thursday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,7,Q1,6-10 years,0,0,100.76,4,4,1,2
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,2021-11-12,102,2021,11,Nov,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,5,2,4,1
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,2021-10-08,106,2021,10,Oct,Friday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,3,Q4,0-5 years,0,0,54.73,5,1,4,1
26,Trailer,623,2017,EASY TILT,Silver,2022-03-04,108,2022,3,Mar,Friday,Trailer,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,5,Q1,0-5 years,0,0,53.83,5,6,1,1
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,2022-02-27,103,2022,2,Feb,Sunday,Trailer,Standard,Waikato,New Zealand,513800.0,21.5,4,Q1,0-5 years,0,0,71.82,7,5,1,1
